Robox Software Translations																													
	English	Simplified Chinese	Traditional Chinese	Italian	French	French (fprint)	Korean	German (Andreas)	German (Erik)	Spanish	Portuguese	Portuguese (Brazil)	Swedish	Danish	Polish	Dutch	Russian	Japanese	Thai	Greek	Turkish	Arabic	Persian	Hindi	German (CEI)	Punjabi	Czech Language	Finnish	Japanese
Locale	default:en	zh_CN	zh_HK:zh_TW:zh_SG				ko	de					sv				ru											fi	
application.title	Robox\u00ae AutoMaker\u2122	Robox\u00ae AutoMaker\u2122	Robox\u00ae AutoMaker\u2122	 Robox\u00ae AutoMaker\u2122	Robox\u00ae AutoMaker\u2122		Robox\u00ae AutoMaker\u2122	Robox\u00ae AutoMaker\u2122	 Robox\u00ae AutoMaker\u2122	Robox\u00ae AutoMaker\u2122	 Robox\u00ae AutoMaker\u2122	 Robox\u00ae AutoMaker\u2122	Robox\u00ae AutoMaker\u2122	 Robox\u00ae AutoMaker\u2122	 Robox\u00ae AutoMaker\u2122	 Robox\u00ae AutoMaker\u2122	Robox\u00ae AutoMaker\u2122	Robox\u00ae AutoMaker\u2122	 Robox\u00ae AutoMaker\u2122	 Robox\u00ae AutoMaker\u2122	 Robox\u00ae AutoMaker\u2122	 Robox\u00ae AutoMaker\u2122	 Robox\u00ae AutoMaker\u2122	 Robox\u00ae AutoMaker\u2122	Robox\u00ae AutoMaker\u2122	 Robox\u00ae AutoMaker\u2122	Robox\u00ae AutoMaker\u2122	Robox\u00ae AutoMaker\u2122	Robox\u00ae AutoMaker\u2122
aboutPanel.applicationNamePart1	Auto	Auto	Auto		Auto		자동	Auto		Auto			Auto		Auto		Auto								Auto		Auto	Auto	
aboutPanel.applicationNamePart2	Maker	Maker	Maker		Maker		메이커	Maker		Maker			Maker		Maker		Maker								Maker		Maker	Maker	
aboutPanel.businessDevelopment	Business Development:	业务发展	業務拓展		Développement des affaires		Business development	Geschäftsentwicklung:		Desarrollo de Negocio			Business development:				развитие бизнеса								Geschäftsentwicklung:		Rozvoj obchodu	Business development:	
aboutPanel.copyright	© 2014 CEL Technology Ltd. All Rights Reserved.	© 2014 CEL有限公司 版权所有 不得转载	熙爾科技有限公司 版權所有 ©2014		© 2014 CEL Technology Ltd. Tous droits réservés.		© 2014 CEL Technology Ltd. All Rights Reserved.	© 2014 CEL Technology Ltd. Alle Rechte vorbehalten.		© 2014 CEL Technology Ltd. All Rights Reserved.			© 2014 CEL Technology Ltd. All Rights Reserved.				© 2014 CEL Technology Ltd. Все права защищены.								© 2014 CEL Technology Ltd. Alle Rechte vorbehalten.		© 2014 CEL Technology Ltd. Všechna práva vyhrazena.	© 2014 CEL Technology Ltd. All Rights Reserved.	
aboutPanel.createdBy	AutoMaker™ was created by the CEL Robox Team.				AutoMaker™ créé par l’équipe de CEL Robox.					Ingeniero de Hardware:			AutoMaker™ was created by the CEL Robox Team.												AutoMaker™ wurde vom CEL Robox Team geschaffen.			AutoMaker™ was created by the CEL Robox Team.	
aboutPanel.hardwareEngineering	Hardware Engineering:	硬件工程:	硬體工程		Ingénieur Hardware:		하드웨어 엔지니어링	Hardware Engineering:		Número de serie de cabezal installado:			Hardware Engineering:				Разработка оборудования:								Hardware Engineering:		Hardwarové inženýrství:	Hardware Engineering:	
aboutPanel.headSerialNumber	Installed Head Serial No:	已安装好的打印头序列号:	打印頭序號		Numero de série de tête installé:		장착된 헤드시리얼 번호	Serien-Nr. des installierten Druckkopfes:		Número de serie Robox:			Installed Head Serial No:				Серийный номер установленной головки:								Serien-Nr. des installierten Druckkopfes:		Sériové číslo namontované hlavy:	Installed Head Serial No:	
aboutPanel.roboxSerialNumber	Robox Serial No:	Robox序列号:	Robox 序號		Numéro de série de Robox:		로복스 시리얼번호	Robox Serien-Nr.:		Ingeniería de Software:			Robox Serial No:				Серийный номер Robox:								Robox Serien-Nr.:		Sériové číslo tiskárny Robox:	Robox Serial No:	
aboutPanel.softwareEngineering	Software Engineering:	软件工程:	軟體工程		Ingenieur software:		소프트웨어 엔지니어링	Software Engineering:		Información de Sistema…			Software Engineering:				Разработка программного обеспечения:								Software Engineering:		Softwarové inženýrství:	Software Engineering:	
aboutPanel.systemInformation	System Information...	系统资讯…	系統資訊		information Systeme		시스템 정보	System Informationen...		TM			System Information...				Информация о системе…								System Informationen...		Informace o systému...	System Information...	
aboutPanel.tm	TM	™	TM		TM		TM	Warenzeichen		Versión			TM				TM								Warenzeichen		TM	TM	
aboutPanel.version	Version	版本	版本		Version		버전	Version		CEL, Robox, el logo de Robox, Automaker, QuickFill, Headlock y SmartReel son marcas comerciales o marcas registradas de CEL Technology Ltd. En Hong Kong y/ o otros paises. Precaución: Este programa está protegido por leyes de Copyright y tratados internacionales.Reproducciones o distriuciones no autorizadas de este programa, o cualquier porción del mismo pueden resultar  en severas penalidades civiles y criminales, y serán procesadas por la extensión máxima de la ley.			Version				Версия								Version		Verze	Version	
aboutPanel.warning	CEL, Robox, the Robox logo, AutoMaker, QuickFill, HeadLock and SmartReel are either registered trademarks or trademarks of CEL Technology Ltd. in Hong Kong and/or other countries. Warning: This computer program is protected by copyright law and international treaties. Unauthorised reproduction or distribution of this program, or any portion of it, may result in severe civil and criminal penalties, and will be prosecuted to the maximum extent possible under the law.	CEL﹑Robox﹑Robox商标﹑Headlock与SmartReel 皆是已申请或属于熙尔科技有限公司于香港或其他地区的商标。警告: 这个电脑软件正受到版权法例与国际公约保护。任何未经授权，生产或销售其部份或全部软件皆会受到严重的民事与刑事惩罚，和会受到法律下最高的检控。	CEL, 熙爾科技, Robox, Robox商標, AutoMaker, QuickFill, HeadLock 及 SmartReel 均為註冊商標或熙爾科技有限公司在香港 及/或 其他國家之商標。 警告:本軟件受版權法及國際公約所保障,任何未經授權之複製或發行此軟件之全部或軟件之部份, 均有可能受到民事及刑事起訴。		CEL, Robox, the Robox logo, AutoMaker, QuickFill, HeadLock and SmartReel sont des marques déposées de CEL Technology Ltd. A Hong Kong et/où dans d’autres pays. Attention: ce logiciel est protégé par la loi qui régie les copyright et par les traités internationaux.Toute reproduction ou distribution non autorisé de tout ou partie de ce logiciel peut entraîner des sanctions civiles et pénales sévères, et seront poursuivis dans toute la mesure possible en vertu de la loi.		CEL,Robox,Robox logo,Automaker,QuickFill,HeadLock,SmartReel은 홍콩 및 모든국가에 CEL Technology Ltd. 의해 등록된 트레이드 마크입니다. 주의:컴퓨터 프로그램은 저작권법,국제조약으로 보호를 받습니다. 이 프로그램 또는 일부분의 허가되지 않은 복사나 배포는 민형사상 책임을 묻게 되니 유의하시길 바랍니다.	CEL, Robox, das Robox-Logo, AutoMaker, QuickFill, HeadLock und SmartReel sind entweder eingetragene Warenzeichen oder Warenzeichen von CEL Technology Ltd. in Hongkong und/oder anderen Ländern. Warnhinweis: Dieses Computerprogramm ist durch das Urheberrecht und internationale Abkommen geschützt. Jegliche unautorisierte Vervielfältigung oder Verbreitung dieses Programms oder irgendeines Teiles davon kann schwerwiegende zivil- und strafrechtliche Maßnahmen nach sich ziehen und wird im maximal zulässigen gesetzlichen Rahmen verfolgt. 		Ajustar compensaciones del inyector			CEL, Robox, the Robox logo, AutoMaker, QuickFill, HeadLock and SmartReel are either registered trademarks or trademarks of CEL Technology Ltd. in Hong Kong and/or other countries. Warning: This computer program is protected by copyright law and international treaties. Unauthorised reproduction or distribution of this program, or any portion of it, may result in severe civil and criminal penalties, and will be prosecuted to the maximum extent possible under the law.				CEL, Robox, логотип Robox, AutoMaker, Технология QuickFill, система HeadLock и система SmartReel являются зарегистрированными торговыми марками или торговыми марками компании "CEL" в Гонконге и/или других странах. Предупреждение: данная компьютерная программа защищена законом об авторском праве и международными договорами. Несанкционированное воспроизведение или распространение данной программы или любой ее части может повлечь за собой гражданскую и уголовную ответственность, будет преследоваться по закону.								CEL, Robox, das Robox-Logo, AutoMaker, QuickFill, HeadLock und SmartReel sind entweder eingetragene Warenzeichen oder Warenzeichen von CEL Technology Ltd. in Hongkong und/oder anderen Ländern. Warnhinweis: Dieses Computerprogramm ist durch das Urheberrecht und internationale Abkommen geschützt. Jegliche unautorisierte Vervielfältigung oder Verbreitung dieses Programms oder irgendeines Teiles davon kann schwerwiegende zivil- und strafrechtliche Maßnahmen nach sich ziehen und wird im maximal zulässigen gesetzlichen Rahmen verfolgt.		CEL, Robox, logo Robox, AutoMaker, QuickFill, HeadLock a SmartReel jsou registrované ochranné známky nebo ochranné známky společnosti CEL Technology Ltd. v Hongkongu a/nebo jiných zemích. Varování: Tento program je chráněn autorským zákonem a mezinárodními úmluvami. Nepovolené kopírování nebo rozšiřování tohoto programu nebo jakékoliv jeho části může mít za následek stíhání podle občanského či trestního práva a je v maximálním možném rozsahu postihováno podle zákona.	CEL, Robox, the Robox logo, AutoMaker, QuickFill, HeadLock and SmartReel are either registered trademarks or trademarks of CEL Technology Ltd. in Hong Kong and/or other countries. Warning: This computer program is protected by copyright law and international treaties. Unauthorised reproduction or distribution of this program, or any portion of it, may result in severe civil and criminal penalties, and will be prosecuted to the maximum extent possible under the law.	
buttonText.addModel	Add Model																												
buttonText.addModelFromCloud	Add From Cloud																												
buttonText.addToProject	Add To Project																												
buttonText.ambientLights	Ambient																												
buttonText.autoLayout	Auto Layout																												
buttonText.back	Back																												
buttonText.backToLayout	To Layout																												
buttonText.backToStatus	To Status																												
buttonText.calibrate	Calibrate																												
